X,Y,,,,,,value
-9,29,,,,,,Pass
-8,29,,,,,,Pass
-7,29,,,,,,Pass
-6,29,,,,,,Pass
-5,29,,,,,,Pass
-4,29,,,,,,Pass
-3,29,,,,,,Pass
-2,29,,,,,,Pass
-1,29,,,,,,Pass
0,29,,,,,,Pass
1,29,,,,,,Pass
2,29,,,,,,Pass
3,29,,,,,,Pass
4,29,,,,,,Pass
5,29,,,,,,Pass
6,29,,,,,,Pass
7,29,,,,,,Pass
8,29,,,,,,Pass
9,29,,,,,,Pass
10,29,,,,,,Pass
11,29,,,,,,Pass
12,29,,,,,,Pass
13,29,,,,,,Pass
14,29,,,,,,Pass
15,29,,,,,,Pass
17,29,,,,,,Pass
18,29,,,,,,Pass
19,29,,,,,,Pass
20,29,,,,,,Pass
21,29,,,,,,Pass
22,29,,,,,,Pass
23,29,,,,,,Pass
24,29,,,,,,Pass
25,29,,,,,,Pass
26,29,,,,,,Pass
27,29,,,,,,Pass
28,29,,,,,,Pass
29,29,,,,,,Pass
31,29,,,,,,Pass
31,28,,,,,,Pass
30,28,,,,,,Pass
29,28,,,,,,Pass
28,28,,,,,,Pass
27,28,,,,,,Pass
26,28,,,,,,Pass
25,28,,,,,,Pass
24,28,,,,,,Pass
23,28,,,,,,Pass
22,28,,,,,,Pass
21,28,,,,,,Pass
19,28,,,,,,Pass
18,28,,,,,,Pass
17,28,,,,,,Pass
16,28,,,,,,Pass
15,28,,,,,,Pass
14,28,,,,,,Pass
13,28,,,,,,Pass
12,28,,,,,,Pass
11,28,,,,,,Pass
10,28,,,,,,Pass
9,28,,,,,,Pass
8,28,,,,,,Pass
7,28,,,,,,Pass
6,28,,,,,,Pass
5,28,,,,,,Pass
4,28,,,,,,Pass
3,28,,,,,,Pass
2,28,,,,,,Pass
1,28,,,,,,Pass
0,28,,,,,,Pass
-1,28,,,,,,Pass
-2,28,,,,,,Pass
-3,28,,,,,,Pass
-4,28,,,,,,Pass
-5,28,,,,,,Pass
-6,28,,,,,,Pass
-7,28,,,,,,Pass
-8,28,,,,,,Pass
-10,28,,,,,,Pass
-11,28,,,,,,Pass
-12,28,,,,,,Pass
-13,28,,,,,,Pass
-14,28,,,,,,Pass
-15,28,,,,,,Pass
-16,28,,,,,,Pass
-17,28,,,,,,Pass
-18,28,,,,,,Pass
-19,28,,,,,,Pass
-20,27,,,,,,Pass
-19,27,,,,,,Pass
-18,27,,,,,,Pass
-17,27,,,,,,Pass
-16,27,,,,,,Pass
-15,27,,,,,,Pass
-14,27,,,,,,Pass
-13,27,,,,,,Pass
-12,27,,,,,,Pass
-11,27,,,,,,Pass
-10,27,,,,,,Pass
-9,27,,,,,,Pass
-8,27,,,,,,Pass
-7,27,,,,,,Pass
-6,27,,,,,,Pass
-5,27,,,,,,Pass
-4,27,,,,,,Pass
-3,27,,,,,,Pass
-2,27,,,,,,Pass
-1,27,,,,,,Pass
0,27,,,,,,Pass
1,27,,,,,,Pass
2,27,,,,,,Pass
3,27,,,,,,Pass
4,27,,,,,,Pass
5,27,,,,,,Pass
6,27,,,,,,Pass
7,27,,,,,,Pass
8,27,,,,,,Pass
9,27,,,,,,Pass
10,27,,,,,,Pass
11,27,,,,,,Pass
12,27,,,,,,Pass
13,27,,,,,,Pass
14,27,,,,,,Pass
15,27,,,,,,Pass
16,27,,,,,,Pass
18,27,,,,,,Pass
19,27,,,,,,Pass
20,27,,,,,,Pass
21,27,,,,,,Pass
22,27,,,,,,Pass
23,27,,,,,,Pass
24,27,,,,,,Pass
25,27,,,,,,Pass
26,27,,,,,,Pass
27,27,,,,,,Pass
28,27,,,,,,Pass
29,27,,,,,,Pass
30,27,,,,,,Pass
31,27,,,,,,Pass
31,26,,,,,,Pass
30,26,,,,,,Pass
29,26,,,,,,Pass
28,26,,,,,,Pass
27,26,,,,,,Pass
26,26,,,,,,Pass
25,26,,,,,,Pass
24,26,,,,,,Pass
23,26,,,,,,Pass
22,26,,,,,,Pass
21,26,,,,,,Pass
20,26,,,,,,Pass
19,26,,,,,,Pass
18,26,,,,,,Pass
17,26,,,,,,Pass
16,26,,,,,,Pass
15,26,,,,,,Pass
14,26,,,,,,Pass
13,26,,,,,,Pass
12,26,,,,,,Pass
11,26,,,,,,Pass
10,26,,,,,,Pass
9,26,,,,,,Pass
8,26,,,,,,Pass
6,26,,,,,,Pass
5,26,,,,,,Pass
4,26,,,,,,Pass
3,26,,,,,,Pass
2,26,,,,,,Pass
1,26,,,,,,Pass
0,26,,,,,,Pass
-1,26,,,,,,Pass
-2,26,,,,,,Pass
-3,26,,,,,,Pass
-4,26,,,,,,Pass
-5,26,,,,,,Pass
-6,26,,,,,,Pass
-7,26,,,,,,Pass
-8,26,,,,,,Pass
-9,26,,,,,,Pass
-10,26,,,,,,Pass
-11,26,,,,,,Pass
-12,26,,,,,,Pass
-13,26,,,,,,Pass
